date,close_005930.ks,high_005930.ks,low_005930.ks,open_005930.ks,volume_005930.ks
2000-01-04,4349.55810546875,4349.55810546875,4029.2142188139323,4271.251822064239,74195000
2000-01-05,3972.2646484375,4313.964833249328,3929.552125336021,4128.877233142921,74680000
2000-01-06,4000.73974609375,4114.639810039479,3972.2647301073175,4093.283548049655,54390000
2000-01-07,3943.789306640625,4036.333099034719,3815.65174794111,3958.0268131627936,40305000
2000-01-10,4107.5205078125,4107.5205078125,3972.264199929593,3986.5017060225305,46880000
2000-01-11,4107.5205078125,4342.4393583459705,4107.5205078125,4143.114273044844,59745000
2000-01-12,4071.92578125,4086.1632839816434,3986.50076486014,3993.6195162259614,29220000
2000-01-13,4064.80859375,4086.164856063923,3958.027282180385,3986.5022985989494,41190000
2000-01-14,4150.23291015625,4185.826674394297,4043.45161744211,4071.9266288325475,49375000
2000-01-17,4342.439453125,4399.389478739754,4214.301895491803,4271.251921106557,63505000
2000-01-18,4342.439453125,4385.151972336065,4257.014414702869,4385.151972336065,45260000
2000-01-19,4242.77685546875,4299.726880374371,4242.77685546875,4271.25186792156,40205000
2000-01-20,4299.72607421875,4299.72607421875,4143.113535091577,4171.588542205609,37315000
2000-01-21,4185.828125,4257.015678146259,4185.828125,4235.659412202382,32535000
2000-01-24,4057.68994140625,4200.065027069627,4057.68994140625,4128.877484237939,34355000
2000-01-25,3872.60302734375,4014.9781386431523,3872.60302734375,3929.553071863511,44250000
2000-01-26,3901.076904296875,3929.551918196852,3851.2456299719147,3915.3144112468635,29285000
2000-01-27,3929.552734375,4000.740283910779,3865.4839397927985,3901.077714560688,27900000
2000-01-28,4143.11572265625,4185.828255879511,3943.7905676143687,4014.9781229864693,38315000
2000-01-31,3972.2646484375,4079.045956191196,3958.027140737007,4014.9771715389784,39630000
2000-02-01,3787.177978515625,4043.453180069314,3744.4654449233435,3986.5031352796054,71470000
2000-02-02,3737.345947265625,3822.7709974888394,3637.683388671875,3715.989684709821,64105000
2000-02-03,3651.9208984375,3886.839786641082,3538.020831429703,3737.345948693348,142765000
2000-02-04,3651.9208984375,3651.9208984375,3651.9208984375,3651.9208984375,0
2000-02-07,3730.22607421875,3794.2948426690723,3587.8510332180344,3659.0385537183924,64140000
2000-02-08,3865.481201171875,3901.0749507222604,3780.05620225095,3801.4124519811808,58460000
2000-02-09,4071.92578125,4071.92578125,3901.07574847028,3958.025759396853,51050000
2000-02-10,4100.40234375,4185.827392578125,3986.5022786458335,4029.214803059896,61845000
2000-02-11,4057.68994140625,4242.777552768641,4043.4524328399125,4242.777552768641,34660000
2000-02-14,3829.890380859375,4029.2155307925764,3801.415359440346,3986.5029986640334,44140000
2000-02-15,3701.753662109375,3858.3663170447717,3659.041119854267,3829.8912888746995,38315000
2000-02-16,3559.377197265625,3701.7522851562503,3402.764600585938,3687.5147763671876,73115000
2000-02-17,3616.326904296875,3630.564411794107,3495.308090570405,3516.6643518162527,65185000
2000-02-18,3772.938720703125,4007.8575467091687,3673.276188458137,3822.769986825619,108750000
2000-02-21,3609.206787109375,3744.463057237734,3580.7317828718255,3701.75055088141,26485000
2000-02-22,3644.80322265625,3730.2282981872554,3559.378147125244,3559.378147125244,24180000
2000-02-23,3659.0400390625,3744.4650983402234,3630.565019303259,3715.9900785809823,27720000
2000-02-24,3609.206787109375,3730.2255551189596,3602.0880360499873,3644.8005424063113,26075000
2000-02-25,3644.80322265625,3666.159491539001,3545.140634536743,3616.328197479248,27875000
2000-02-28,3417.002685546875,3594.9715754191084,3417.002685546875,3559.3777974446616,30140000
2000-02-29,3644.80322265625,3659.0407352447505,3445.4780464172363,3488.1905841827393,51820000
2000-03-01,3644.80322265625,3644.80322265625,3644.80322265625,3644.80322265625,0
2000-03-02,4185.828125,4185.828125,3929.55293367347,4185.828125,117750000
2000-03-03,4271.251953125,4449.220784505208,4185.8269140625,4413.627018229166,140990000
2000-03-06,4014.978759765625,4306.84778308192,3986.5037331006206,4271.253999750665,39150000
2000-03-07,4000.73974609375,4014.9772540869662,3901.0771901412368,3986.5022381005338,30070000
2000-03-08,4214.30322265625,4271.253266205659,3915.3154940218537,3929.5530049092063,32460000
2000-03-09,4000.73974609375,4257.014889971641,4000.73974609375,4249.896135975033,55890000
2000-03-10,3943.789306640625,4128.876891428813,3929.551800118457,4121.758138167729,28605000
2000-03-13,3687.513916015625,3908.195250757873,3673.2764105483834,3901.076498024252,32215000
2000-03-14,3708.871337890625,3829.890172332354,3673.2775630548226,3680.396318021983,30060000
2000-03-15,3844.127685546875,3844.1276855468755,3644.8025462962964,3701.752586082176,46105000
2000-03-16,3844.127685546875,3929.5527452256947,3815.6526656539354,3901.077725332755,28795000
2000-03-17,3901.076904296875,3958.026932096829,3844.1268764969204,3943.7894251468406,24080000
2000-03-20,4029.21484375,4064.8086144545055,3936.671039918286,3986.5023189045937,26365000
2000-03-21,4185.828125,4228.540656887755,3993.621731505102,4057.690529336735,44925000
2000-03-22,4413.62744140625,4484.81498078377,4185.827315398185,4242.777346900201,86975000
2000-03-23,4413.62744140625,4684.1400910408265,4413.62744140625,4612.952551663307,64950000
2000-03-24,4840.75244140625,5068.552556295956,4399.389718807444,4499.052269071691,90260000
2000-03-27,4840.75244140625,5011.602527573529,4769.564905503216,4954.652498851103,67730000
2000-03-28,5004.4833984375,5168.214718727774,4854.989584259424,4911.939608708215,74425000
2000-03-29,5452.9658203125,5467.203328981724,4968.89052555891,5004.484297231968,78090000
2000-03-30,5018.72021484375,5381.77657081117,5018.72021484375,5353.3015625,74645000
2000-03-31,4769.56494140625,5032.958826230178,4733.971173186801,4840.75247784515,63855000
2000-04-03,5054.31591796875,5210.928523877641,4883.465802431779,4926.178331316021,56805000
2000-04-04,4840.75244140625,5189.571367331112,4741.089891142004,4983.1275132123155,58340000
2000-04-05,4840.75244140625,4840.75244140625,4840.75244140625,4840.75244140625,0
2000-04-06,4755.32861328125,4954.653764736153,4755.32861328125,4883.466210645116,47235000
2000-04-07,5125.5029296875,5168.2154541015625,4826.5152587890625,4883.4652913411455,42355000
2000-04-10,5196.69091796875,5339.066011611729,5125.50337114726,5339.066011611729,35885000
2000-04-11,5054.31591796875,5125.503466109155,4947.534595758143,5125.503466109155,29075000
2000-04-12,4919.0595703125,5004.484627973498,4883.465796287084,4954.653344337916,35250000
2000-04-13,4919.0595703125,4919.0595703125,4919.0595703125,4919.0595703125,0
2000-04-14,4456.34130859375,4755.329064122404,4456.34130859375,4698.379015450279,62365000
2000-04-17,3929.552734375,4093.2840983072915,3801.4151452105975,3858.365184839221,78050000
2000-04-18,4299.72607421875,4442.101109788908,4171.588542205609,4413.626102674876,73730000
2000-04-19,4271.251953125,4598.714602864583,4171.589407552084,4484.81455078125,60615000
2000-04-20,4285.48974609375,4385.1522983284885,4214.302208783222,4242.777223707433,37335000
2000-04-21,4306.84765625,4399.391490185951,4249.897604597108,4313.966412706612,26425000
2000-04-24,4128.8779296875,4292.609295864763,4100.402909482758,4249.896765557651,27830000
2000-04-25,4014.978759765625,4100.403839760638,3929.553679770612,4000.741246433123,34900000
2000-04-26,3986.50341796875,4171.591076660156,3986.5034179687505,4143.116052246094,39290000
2000-04-27,3844.127685546875,4057.690334743924,3844.1276855468755,3929.5527452256947,54110000
2000-04-28,4271.251953125,4342.439485677083,3886.83927734375,3915.3142903645835,75530000
2000-05-01,4271.251953125,4271.251953125,4271.251953125,4271.251953125,0
2000-05-02,4470.57861328125,4648.547507122064,4356.678521223129,4413.62856725219,72335000
2000-05-03,4399.39013671875,4456.340170851032,4335.321348319933,4442.102662317961,26585000
2000-05-04,4399.39013671875,4527.527713516383,4370.915119652609,4427.865153784891,26100000
2000-05-05,4399.39013671875,4399.39013671875,4399.39013671875,4399.39013671875,0
2000-05-08,4669.90283203125,4769.565392470941,4484.815219786109,4556.002762957317,52695000
