date,close_samsung,high_005930.ks,low_005930.ks,open_005930.ks,volume_005930.ks,sp500_close,rolling_mean_7,return,volatility_7,return_cum
2000-01-04,4349.56005859375,4349.56005859375,4029.2160280917556,4271.253740026596,74195000,1399.4200439453125,,,,1.0
2000-01-05,3972.264404296875,4313.964568107359,3929.5518838205644,4128.87697937668,74680000,1402.1099853515625,,-0.08674340604894604,,0.913256593951054
2000-01-06,4000.739501953125,4114.639558948232,3972.264487704348,4093.283298261649,54390000,1403.449951171875,,0.007168479929344107,,0.9198032555151332
2000-01-07,3943.790283203125,4036.3340985129457,3815.652692774143,3958.0277932507897,40305000,1441.469970703125,,-0.014234673045370183,,0.9067101569068082
2000-01-10,4107.521484375,4107.521484375,3972.265144334922,3986.5026538128245,46880000,1457.5999755859375,,0.04151620380759535,,0.944353320575368
2000-01-11,4107.521484375,4342.440390760398,4107.521484375,4143.115258069757,59745000,1438.56005859375,,0.0,,0.944353320575368
2000-01-12,4071.926513671875,4086.164018964434,3986.501481916521,3993.6202345628003,29220000,1432.25,4079.0462472098216,-0.008665802683815116,,0.9361697410354562
2000-01-13,4064.808349609375,4086.164610640598,3958.027044453262,3986.502059161559,41190000,1449.6800537109375,4038.367431640625,-0.0017481072014929877,0.038769478920803,0.9345332159693324
2000-01-14,4150.23388671875,4185.827659332118,4043.452568878645,4071.9275869693392,49375000,1465.1500244140625,4063.7916434151784,0.021015883102480037,0.019181037043767446,0.9541732567915285
2000-01-17,4342.439453125,4399.389478739754,4214.301895491803,4271.251921106557,63505000,,4112.605922154018,0.04631198425258187,0.024420425744608783,0.9983629136342925
2000-01-18,4342.439453125,4385.151972336065,4257.014414702869,4385.151972336065,45260000,1455.1400146484375,4169.555803571428,0.0,0.022376116253927762,0.9983629136342925
2000-01-19,4242.77783203125,4299.7278700450925,4242.77783203125,4271.252851038171,40205000,1455.9000244140625,4188.878138950893,-0.022950606950208452,0.022459454493272444,0.9754498788098069
2000-01-20,4299.7275390625,4299.7275390625,4143.114946580091,4171.589963395074,37315000,1445.5699462890625,4216.336146763393,0.013422740781122933,0.022548991825200648,0.9885430896780487
2000-01-21,4185.82861328125,4257.0161747316115,4185.82861328125,4235.659906296502,32535000,1441.3599853515625,4232.607875279018,-0.026489800748185077,0.025407635477255715,0.962356780201482
2000-01-24,4057.689453125,4200.064521655702,4057.6894531250005,4128.876987390351,34355000,1401.530029296875,4231.590890066965,-0.030612615086455297,0.028670948669502528,0.9328965225133335
2000-01-25,3872.602294921875,4014.9773792940027,3872.602294921875,3929.552328670726,44250000,1410.030029296875,4191.929234095982,-0.045613928897535905,0.03149117366225489,0.8903434468666519
2000-01-26,3901.077880859375,3929.5529018875454,3851.2465940600764,3915.31539137346,29285000,1404.0899658203125,4128.877580915178,0.007353088122382223,0.02201781518507458,0.8968902206906479
2000-01-27,3929.552001953125,4000.7395382203918,3865.483219312585,3901.0769874462185,27900000,1398.56005859375,4069.8936593191966,0.007299039384334849,0.022996790935588502,0.9034366577348938
2000-01-28,4143.115234375,4185.827762564433,3943.7901028243127,4014.9776498067013,38315000,1360.1600341796875,4055.6561453683034,0.054347984787000314,0.033916213672496275,0.9525366194654882
2000-01-31,3972.264404296875,4079.045705487651,3958.026897471438,4014.976924773185,39630000,1394.4599609375,4008.8756975446427,-0.04123728653757763,0.03577349501276333,0.9132565939510543
2000-02-01,3787.177734375,4043.4529194078946,3744.465203536184,3986.5028782894738,71470000,1409.280029296875,3951.9255719866073,-0.04659475077279929,0.037990177294812175,0.8707036305642893
2000-02-02,3737.345458984375,3822.7704980468748,3637.6829134114582,3715.98919921875,64105000,1409.1199951171875,3906.1621442522323,-0.01315815598996406,0.037251530559590726,0.8592467763722964
2000-02-03,3651.921630859375,3886.8405661778143,3538.0215410080104,3737.3466982478985,142765000,1424.969970703125,3874.6363351004466,-0.0228568188470899,0.034637318079591445,0.8396071284598089
2000-02-04,3651.921630859375,3651.921630859375,3651.921630859375,3651.921630859375,0,1424.3699951171875,3839.0425851004466,0.0,0.034208780668319325,0.8396071284598089
2000-02-07,3730.2265625,3794.295339336832,3587.851502862595,3659.0390326812976,64140000,1424.239990234375,3810.5675223214284,0.021442117207262745,0.03570877547662537,0.8576100829162975
2000-02-08,3865.48486328125,3901.0786465527162,3780.0597834297305,3801.4160533926106,58460000,1441.719970703125,3770.9060407366073,0.03626007657041619,0.030867171908099462,0.8887070901904034
2000-02-09,4071.926513671875,4071.926513671875,3901.0764501611666,3958.0264713314027,51050000,1411.7099609375,3785.143484933036,0.05340640506748362,0.0350652181477971,0.9361697410354568
2000-02-10,4100.40234375,4185.827392578125,3986.5022786458335,4029.214803059896,61845000,1416.8299560546875,3829.8898577008927,0.006993208247377369,0.027106797986603554,0.9427165709894111
2000-02-11,4057.689453125,4242.777042214912,4043.45194627193,4242.777042214912,34660000,1387.1199951171875,3875.6532854352677,-0.010416755977643244,0.02670416325219032,0.9328965225133338
2000-02-14,3829.890625,4029.215787639405,3801.4156017657992,3986.503252788104,44140000,1389.93994140625,3901.0774274553573,-0.05614003505112064,0.035487940256339924,0.8805236790403667
2000-02-15,3701.75341796875,3858.36606257512,3659.040878530649,3829.891036283053,38315000,1402.050048828125,3908.1962541852677,-0.03345714527585231,0.03874824897863063,0.8510638703918851
